Technical Support,Fixes on MYTP App,Hub & NG,Rwanda Missing from Active East Africa Corridors,Rwanda is currently not included in the list of active corridors in East Africa. This omission limits transaction capabilities and may prevent users from initiating or receiving transactions involving Rwanda. (John - check if rails exist first),Activate Rwanda within the East Africa corridor configurations.,John Odero,Alpha Diack,P4,Green,Yes,ISTD0626214148,12-Jun-26,30-Jun-26,13,Blocked,100%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Lack of Power BI Access for East Africa MyTouchpoint Coordinator,"Access to Power BI is currently not available for the East Africa MyTouchpoint Coordinator, limiting the ability to monitor performance, analyze data, and effectively carry out coordination responsibilities.",Provision appropriate Power BI access rights to the East Africa MyTouchpoint Coordinator and validate access to all relevant dashboards and reports required for effective operations.,John Odero,Mousa Sarr,P2,Amber,N/A,N/A,09-Apr-26,23-Jun-26,54,In Progress,50%,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,KE,Receipt lacks sender's details,"No information is available on the originating country or the sender’s identity (name and number); the sender is displayed only as ""Le Guichet Unique,"" with the sending service being the sole accessible detail. ( An evolution!)",Sender's details should be activated,John Odero,Alpha Diack,P1,Green,Yes,ISTD0626210721,12-Jun-26,30-Jun-26,13,Completed,5%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,KE,Services on Mytouchpoint Landing Page,"Services are arranged alphabetically, the main service should be default","Default Service (Mpesa) should be the default, not Airtel",John Odero,Alpha Diack,P1,Green,Yes,ISTD0626209146,12-Jun-26,30-Jun-26,13,Completed,5%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Transalate Receipt notification to English,Receipt after transaction is in French,To be translated to English,John Odero,Alpha Diack,P2,Green,Yes,ISTD0626210706,12-Jun-26,30-Jun-26,13,In Progress,100%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Number Format,Prefix 0 is not accepted at the point of payment,"English speaking countries prefer prefix 0, should be fixed",John Odero,Alpha Diack,P3,Amber,Yes,ISTD0626209135,12-Jun-26,30-Jun-26,13,In Progress,5%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Number Format,Phone Number rejects format with prefix 0? What is the right format?,There should be instructions on the right format,John Odero,Alpha Diack,P4,Green,Yes,ISTD0626209122,12-Jun-26,30-Jun-26,13,In Progress,5%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Inactive Services,Inactive Services still showing in the drop down list ,"Inactive services are appearing in the drop-down list and should be removed (e.g., Visa Card and Touchpoint)",John Odero,Alpha Diack,P4,Green,Yes,ISTD0626214091,12-Jun-26,30-Jun-26,13,In Progress,100%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,KE,Cameroon Missing from Active East Africa Corridors,Cameroon is currently not included in the list of active corridors in East Africa. This omission limits transaction capabilities and may prevent users from initiating or receiving transactions involving Cameroon,Activate Cameroon to enable transactions from and to the East Africa corridor ,John Odero,Alpha Diack,P4,Green,No,ISTD0626220957,17-Jun-26,30-Jun-26,10,Blocked,100%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Customer Communication for MyTouchpoint App Update to Enable WhatsApp Customer Service Access,"
Customers using the MyTouchpoint App are not currently informed that they need to update it to access the Customer Service WhatsApp line, which may limit their ability to use this support channel. A clear communication should be developed and shared with all active users.",Draft and send a communication to all MyTouchpoint App users requesting them to update their application to access the Customer Service WhatsApp line ,John Odero,Aziz,P4,Green,Yes,ISTD0626221209,01-Jan-26,31-Mar-26,64,In Progress,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,"Rename Support WhatsApp Display Name to ""INTOUCH SUPPORT - ENG""","WhatsApp display currently reads 'INTOUCH KE"". This does not reflect the region covered; i.e EA & NG. ","Update the current Support WhatsApp account name from ""INTOUCH KE"" to ""INTOUCH SUPPORT - ENG"".  This change will make it easier for customers to identify the support channel and understand that assistance is provided in English.",John Odero,Aziz,P4,Green,Yes,ISTD0626221212,01-Jul-26,15-Aug-26,33,In Progress,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Enable Mobile Notifications for LAM Platform to Improve Query Response Awareness,"Currently, the LAM platform does not support mobile notifications, requiring agents to be logged in and actively monitoring the system to detect new queries. This increases the risk of delayed or missed responses. Introducing a mobile notification solution (e.g., push, email, or SMS) would ensure agents are promptly alerted to new queries, improving response times and efficiency","
Assess and implement mobile notification capability for the LAM platform to alert agents of incoming queries in real time.",P4,Green,P4,Green,Yes,ISTD0626221212,01-Jul-26,15-Aug-26,33,In Progress,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Update Contact Number on Moving Advertisements,The contact number currently displayed on the moving advertisements,Replace the obsolete contact number (00221338434648) with the new,P4,Green,P2,Green,Yes,ISTD0726241586,01-Jul-26,15-Aug-26,33,In Progress,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Title: Password Reset Notification Channel Mismatch,"During password reset, users are informed that the new password will be","Password reset instructions and delivery method should be consistent, with",John Odero,Aziz,P1,Green,Yes,ISTD0726241578 ,01-Jul-26,15-Aug-26,33,In Progress,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Mpesa Dealer Portal Support,"sent to the registered email address. However, the password is currently",the password sent only through the designated communication channel.,John Odero,John,P4,Green,N/A,,01-Jan-26,31-Mar-26,64,In Progress,99%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Mpesa Dealer Portal Support,being sent through both email and WhatsApp. Please align the notification,being sent through both email and WhatsApp. Please align the notification,John Odero,John,P4,Green,N/A,,01-Jan-26,31-Mar-26,64,In Progress,99%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Safaricom Mpesa Support,and delivery process so that the password is sent only through the specified,and delivery process so that the password is sent only through the specified,John Odero,John,P3,Green,N/A,,01-Jan-26,31-Mar-26,64,In Progress,0%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Safaricom Mpesa Support,channel (email or WhatsApp) and avoid sending it via any unintended or,channel (email or WhatsApp) and avoid sending it via any unintended or,John Odero,John,P3,Green,N/A,,01-Jan-26,31-Mar-26,64,In Progress,0%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Safaricom Mpesa Support,unmentioned channels.,unmentioned channels.,John Odero,John,P3,Green,N/A,,01-Jan-26,31-Mar-26,64,In Progress,0%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Partner Meetings,"Organize Strategy meeting (July) and coordinate partner meetings to conduct business reviews, assess performance, and explore new business opportunities.",John Odero,John,P2,Green,N/A,N/A,01-Jul-26,30-Sept-26,66,Complete,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Deliver Marketing & Communication Materials,"The tent cards delivered for CICO (Store and Agent Numbers) were oversized and incorrectly labelled as “Buy Goods.” Safaricom to issue revised tent cards. A transparent sticker was shared for benchmarking, and InTouch will share a full list of all stations (children) to enable pre‑slotting of Agent and Store Numbers before printing.  (Business Model changed)",,,,,,N/A,01-Jul-26,30-Sept-26,66,Blocked,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,AML Training for Station Agents,InTouch will re-share the updated list of station agents requiring AML training. Safaricom will create the agents in the dealer portal ahead of the training. (Business Model changed),,,,,,N/A,01-Jul-26,30-Sept-26,66,Blocked,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,"Dealer Portal, GU2 and G3 Training",Safaricom to organize a physical training session for InTouch Admin and Support staff. A mutually suitable date to be scheduled.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Whitelisting of Staff Numbers (Line 300),This process was clarified and will be handled via a Service Request (SR) raised in the dealer portal.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Business Support Engagement,A follow‑up meeting to be scheduled with the Safaricom business team to discuss additional business opportunities. (July),,,,,,N/A,01-Jul-26,30-Sept-26,66,Complete,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Escalation Matrix,"Safaricom to unify and clearly define escalation channels for issues impacting M‑Pesa Agency, API, and Collection Services.",,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,New Portal Launch,Safaricom to confirm UBO approval ahead of the new portal launch.,,,,,,N/A,01-Jul-26,30-Sept-26,66,Complete,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Merchandise Availability,Confirmation on the availability of merchandise to be provided by the Safaricom team.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,M‑Pesa Business Portal Access,InTouch will re‑share the customer journey outlining how Agency CICO accounts or statements can be accessed via the M‑Pesa Business Portal.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Reversal Handling and Communication,"Sidney Mwangangi Mulwa to be included in the email trail, as he handles reversal queries. Additionally, reversal requests should be handled directly by the Operations team rather than through Admin to improve turnaround time.",,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Admin Email Address Update,Request to update the Admin email address in the M‑Pesa/Dealer Portal from john.odero@intouchgroup.net to intouchfinopsea@intouchgroup.net to ensure continuity and effective receipt of communications.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,API Support and Troubleshooting,Ongoing challenges with API troubleshooting and consumption support were noted. Improved support is required to enable timely incident resolution.,,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,STK Push Display Name Customization,"There is a requirement to customize the STK push display name. Currently, all transactions reflect as LE GUICHET UNIQUE, leading to customer confusion and a high transaction failure rate.",,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,Safaricom,KE,Partner Liaison Support,Access to Statements,"InTouch Finance team requires independent access to statements, without having to rely on the Operations team, to streamline reconciliation and reporting processes.",,,,,,N/A,01-Jul-26,30-Sept-26,66,In Progress,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Partners Support,KCB,KE,Partner Liaison Support,,,,,,,,N/A,01-Jul-26,30-Sept-26,66,Not Started ,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
Technical Support,Tests,KE,Corridors Activation,Tests & Fixes,Pending: ML - KE Wave,John Odero,John/Alpha,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Tests,TZ & UG,Corridors Activation,Tests & Fixes,Pending: TZ - ML  Wave; TZ - TG Wave,John Odero,John/Alpha,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Tests,TZ & UG,Togo & Benin,Tests & Fixes,Pending: TZ - ML  Wave; TZ - TG Wave,John Odero,John/Alpha,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Float Process,Operation Processes: Cancellations/Re-embusements (Mock Demos),Training on Operation Processes: Cancellations/Re-embusements (Mock Demos),John Odero,Aziz,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,Create Training manual for LAM,"Train agents TZ, KE and UG",John Odero,Penda,P2,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,0%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,SOPs,Operation Processes: Customer Life Cycle Workshop | LAM training,John Odero,Aziz Fall,P2,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,Finalize password reset capability with partner,John Odero,Aziz Fall,P4,Green,N/A,,01-Jan-26,15-Mar-26,52,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,Prepare and deliver training materials and agent training,John Odero,Aziz Fall,P2,Green,N/A,,01-Jan-26,15-Mar-26,52,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytics,CRM,Hub,Performance Analysis,Daily/Monthly Perfomance Analysis,Daily/Monthly Perfomance Analysis,John Odero,Aziz Fall,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,Complete,100%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,Confirm Nigeria rollout and user access setup,,,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,Complete,100%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,Fast-track the validation of three support agents in Dakar to enable shift-based support in collaboration with the EA Hub team.,John Odero,Aziz Fall,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,ensure mobile notifications are working,John Odero,Aziz Fall,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Support & Agent Readiness,communicate app updates via WhatsApp.,John Odero,Aziz Fall,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Support ,CRM,Hub,Complete LAM rollout and support readiness,LAM Password Management Feature,Prioritize and expedite depolyment of LAM second release (password management) to improve operational efficiency and reduce reliance on manual password reset processes.,John Odero,Aziz Fall,P2,Green,Yes,ISTD0626222951,01-Jan-26,15-Mar-26,52,In Progress,20%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,MyTP Prefinancing,KE,Settlement between Countries,"Float loss , no process",Rebalancing done twice a week: Tue & Fri | Available on drive/dashboard daily,John Odero,Mousa Ndiaye,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,Complete,100%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,MyTP Prefinancing,UG,Settlement between Countries,"Float loss , no process",Rebalancing done twice a week: Tue & Fri | Available on drive/dashboard daily,John Odero,Mousa Ndiaye,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,Complete,100%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,MyTP Prefinancing,TZ,Settlement between Countries,"Float loss , no process",Rebalancing done twice a week: Tue & Fri | Available on drive/dashboard daily,John Odero,Mousa Ndiaye,P1,Green,N/A,,01-Jan-26,15-Mar-26,52,Complete,100%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Tests,UG,Corridors Activation,Tests & Fixes,"Pending Fixes to be sorted, retest to be done",John Odero,John/Alpha,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,SOP Trainings,Hub,Support Processes,SOPs Training/Workshop,Operation Processes: Cancellations/Re-embusements,John Odero,Aziz,P1,Amber,N/A,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,Float Settlement,KE,Settlement between Countries,Payment for amount due from 2025 to Feb 2026,Verify all float payments for 2025–2026 are fully completed,John Odero,Mousa Ndiaye,P1,Green,N/A,,03-Mar-26,15-Mar-26,9,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,Float Settlement,UG,Settlement between Countries,Payment for amount due from 2025 to Feb 2026,Payment for amount due from 2025 to Feb 2026,John Odero,Mousa Ndiaye,P1,Green,N/A,,03-Mar-26,15-Mar-26,9,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Operations,Float Settlement,TZ,Settlement between Countries,Payment for amount due from 2025 to Feb 2026,Payment for amount due from 2025 to Feb 2026,John Odero,Mousa Ndiaye,P1,Green,N/A,,03-Mar-26,15-Mar-26,9,In Progress,0%,,,,,,,u, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,Bank Sponsorship,KE,Sponsorship by Choice Bank,Compliance with regulator,"Prelimiary meeting, alignment on next steps",P1,Green,P1,Green,N/A,N/A,20-Jul-26,30-Sept-26,53,Complete,100%,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,
